JPM BAC WFC GS MS C SCHW BLK SPGI AXP JNJ PFE MRK ABBV UNH LLY TMO ABT BMY CVS XOM CVX COP SLB OXY KO PG PEP WMT HD MCD NKE DIS COST LOW BA CAT GE HON UPS RTX LMT MMM DE V MA IBM ORCL CSCO T VZ
207.96 39.50 56.88 500.12 101.76 63.28 63.71 865.35 464.08 248.68 160.76 30.65 113.82 189.71 572.77 832.44 621.77 110.15 48.17 60.03 116.95 152.62 108.39 46.66 59.38 67.96 165.69 174.96 69.79 358.58 268.75 73.85 93.05 816.89 241.36 178.31 331.52 169.75 202.22 130.58 116.74 548.86 126.47 357.91 265.93 462.41 189.66 137.51 47.39 19.47 40.85
199.14 37.58 53.26 470.64 95.85 58.76 63.39 846.02 459.83 232.28 164.14 30.43 115.20 189.29 589.83 804.46 615.69 111.31 48.77 59.32 116.88 148.55 105.77 44.93 57.67 69.33 170.08 178.04 68.46 355.43 276.69 74.01 89.57 822.08 240.42 169.95 320.87 160.28 201.34 128.06 116.44 548.77 125.24 353.75 266.58 462.02 189.12 133.28 46.66 19.37 40.97
194.90 36.65 52.12 459.02 92.07 56.21 62.29 830.76 446.54 225.92 161.25 29.74 112.31 184.36 569.96 775.26 598.03 108.63 47.59 57.81 114.77 144.66 104.57 43.77 56.18 68.10 168.06 174.04 67.59 350.01 268.45 71.42 87.78 801.83 237.02 167.03 316.80 158.36 197.41 126.02 115.17 545.38 124.61 344.84 256.44 442.00 183.31 127.86 44.74 18.91 39.80
200.34 36.92 52.36 470.22 92.97 56.56 62.80 840.96 453.62 231.12 158.97 29.32 111.15 185.71 568.35 793.18 602.02 109.50 47.31 58.34 114.16 143.23 105.80 43.40 56.13 68.05 168.09 172.49 67.74 353.91 270.06 72.50 89.97 816.88 240.65 165.04 326.44 162.27 196.51 124.50 114.40 541.56 124.89 346.06 258.26 448.30 186.80 128.21 45.16 19.19 40.26
200.40 37.30 52.29 473.01 92.11 56.11 62.22 839.84 452.34 228.80 158.90 28.85 112.49 187.51 566.08 772.14 587.37 109.94 46.50 56.47 115.68 142.41 106.93 42.86 56.11 68.46 170.02 171.79 66.91 342.40 269.37 72.62 85.96 810.30 231.59 163.24 325.80 162.13 195.64 123.32 114.15 548.51 122.83 345.98 256.52 449.84 186.80 125.90 45.12 19.25 40.28
204.06 38.21 52.76 485.77 94.63 58.00 62.78 854.83 460.92 233.54 160.22 28.76 113.92 190.40 566.24 845.31 600.04 109.76 46.85 57.85 117.89 144.49 108.27 43.69 58.53 68.73 170.87 172.37 67.66 348.34 271.19 74.19 85.96 839.43 236.33 168.87 336.16 165.61 197.52 126.21 115.10 551.62 125.13 349.14 259.83 455.58 192.61 128.96 45.83 19.40 40.52
205.80 38.28 52.76 490.26 94.72 57.84 62.41 856.21 462.17 237.85 160.62 28.55 114.55 189.93 558.76 891.68 596.18 108.71 46.72 57.11 118.85 144.99 108.61 43.55 58.41 68.68 170.54 172.39 67.95 348.64 267.91 74.34 86.21 854.93 235.83 167.91 338.26 167.13 195.94 125.82 116.15 551.58 124.17 346.03 259.76 456.78 191.45 132.06 45.47 19.49 40.75
206.19 38.17 52.06 485.50 94.84 57.84 61.77 838.27 458.34 237.05 159.88 28.45 113.48 190.18 565.29 884.38 599.07 107.80 47.06 55.81 119.00 145.02 110.03 43.90 58.98 68.17 166.81 171.42 68.70 345.81 269.46 74.64 85.95 863.57 231.07 164.13 336.03 166.87 194.52 124.86 116.60 556.91 123.36 345.01 259.89 455.69 189.48 132.58 44.86 19.43 40.53
207.94 38.46 52.87 491.94 96.71 58.15 62.49 854.59 463.28 238.99 158.39 28.85 114.39 191.23 574.24 908.05 604.21 108.24 49.06 55.82 117.86 144.15 108.34 43.77 57.46 68.46 167.29 172.37 68.13 350.07 270.31 78.50 85.60 864.82 236.19 168.76 338.80 167.96 194.46 126.49 116.86 559.42 125.35 350.59 260.13 459.36 190.99 134.26 45.37 19.52 40.78
210.24 38.81 53.66 498.70 99.44 59.28 65.36 857.52 466.08 243.76 158.48 28.88 113.58 193.00 579.67 931.68 602.10 109.89 48.41 55.99 118.95 144.67 109.33 43.78 56.94 68.58 168.80 173.71 68.66 355.66 271.15 78.52 86.30 862.71 237.64 168.50 337.59 167.95 195.32 126.42 117.65 563.22 126.17 351.28 261.14 460.16 192.32 135.60 45.44 19.63 40.90
211.55 39.03 54.57 499.02 100.64 60.52 65.23 872.06 466.35 249.50 159.09 28.71 113.31 193.40 579.61 931.58 603.69 110.94 49.11 57.56 118.73 146.80 111.23 45.04 57.81 68.65 167.92 172.52 73.18 360.07 274.87 82.50 88.79 877.35 240.06 176.41 345.64 169.94 196.17 128.55 118.36 560.29 127.16 373.26 266.80 468.71 193.95 136.93 48.53 19.09 40.04
213.97 39.34 55.33 504.26 101.44 61.40 65.55 872.49 464.40 251.71 159.39 28.30 113.67 193.90 577.68 922.12 603.98 111.00 49.36 58.35 118.17 147.27 111.18 44.78 57.61 69.18 167.89 172.62 73.45 362.06 278.49 83.23 89.30 870.59 241.15 179.99 343.48 169.42 196.21 129.65 117.95 560.13 127.05 377.92 267.38 468.88 193.78 137.47 49.46 19.34 40.61
